"Ativo","Data","Último (R$)","Var. Dia (%)","Var. Sem. (%)","Var. Mês (%)","Var. Ano (%)","Var. 12M (%)","Val. Mín","Val. Máx","Volume"
"SEQL3","17h07","5,06","40,56","44,57","12,44","-33,42","-42,50","3,65","5,19","37,27 M"
"KNRE11","17h08","0,30","15,38","30,43","-23,08","-26,83","-45,45","0,27","0,31","7,9 K"
"S1TX34","16h04","642,60","14,53","14,53","14,53","57,87","108,34","642,60","642,60","302,02 K"
"CEDO3","17h08","24,99","13,59","13,59","4,56","-9,59","56,19","23,00","26,69","73,28 K"
"CTKA4","11h20","21,00","12,90","12,90","10,53","14,13","73,55","19,00","21,00","196,28 K"
"U1HS34","12h49","332,50","11,06","11,06","11,06","107,75","107,75","332,50","332,50","5,32 K"
"PHMO34","16h33","374,68","9,87","9,60","13,69","71,74","72,01","352,00","374,68","417,02 K"
"PEMA11","16h30","34,00","9,68","9,68","-5,56","-27,66","-22,73","34,00","34,00","2,69 K"
"GMCO34","17h05","76,59","9,41","9,45","25,04","76,84","109,89","70,11","77,14","2,57 M"
"I1QY34","16h11","7,44","9,09","7,05","-4,86","-36,57","-35,25","7,25","7,55","7,78 K"
"B1IL34","17h10","24,97","9,09","8,38","-1,69","119,04","95,54","23,15","24,97","87,78 K"
"U1DR34","16h47","252,95","7,85","7,85","7,85","52,08","50,90","229,85","252,95","1,19 K"
"TECN3","17h05","5,65","7,62","1,07","15,31","67,39","73,81","5,22","5,70","2,49 M"
"HYPE3","17h07","28,11","7,45","9,51","7,17","-19,42","-14,28","26,28","28,14","1,35 B"
"MGHT11","16h51","19,29","7,11","7,17","-0,82","-58,33","-55,14","17,89","19,29","70,69 K"
"OIBR4","16h52","10,87","7,09","6,05","-3,03","-33,04","-43,45","9,96","10,89","43,29 K"
"FRIO3","17h16","119,92","7,07","7,07","-27,32","-50,03","135,14","114,00","119,92","81,08 K"
"S1BS34","16h32","13,52","6,79","6,37","19,65","0,60","1,73","12,79","13,52","385,69 K"
"DDNB34","16h25","483,36","6,68","6,68","6,68","31,67","29,93","483,36","483,36","483,36"
"ABBV34","17h12","71,00","6,67","6,05","6,01","55,87","58,66","66,56","71,00","93,28 K"
"G1DS34","17h12","13,14","5,97","6,40","20,44","195,28","151,24","12,81","14,00","122,5 K"
"BLOK11","16h41","178,35","5,22","2,00","8,03","16,97","147,50","172,64","178,35","173 K"
"I1TW34","11h12","362,47","4,86","4,86","4,86","15,63","24,68","362,42","362,47","1,44 K"
"PTNT4","16h47","6,43","4,72","2,06","-2,58","-24,35","-25,35","6,20","6,50","285,31 K"
"L1UL34","16h51","425,04","4,07","4,07","14,26","-31,17","-14,82","425,04","426,72","81,73 K"
"F1IS34","10h26","543,76","4,01","4,01","11,72","65,27","89,03","543,76","543,76","10,32 K"
"TRNT11","15h54","104,99","3,95","4,99","-0,01","-22,78","-13,35","100,00","105,00","47,71 K"
"CHCM34","16h53","31,32","3,88","1,56","6,42","-0,82","-13,14","30,87","31,35","64,82 K"
"TGMA3","17h07","28,36","3,81","3,50","5,82","7,89","27,81","27,13","28,36","12,48 M"
"T1AL34","16h00","6,57","3,79","10,61","1,39","15,06","35,46","6,35","6,60","46,26 K"
"PINE3","17h00","4,83","3,65","0,63","-4,76","3,86","30,57","4,82","4,84","14,35 K"
"P1DD34","17h05","73,98","3,56","4,15","1,07","3,72","40,91","72,92","76,90","489,43 K"
"CXRI11","17h05","70,79","3,51","5,66","-12,60","-11,62","-11,55","70,79","70,88","51,6 K"
"E1QN34","17h10","71,99","3,51","4,41","4,70","-1,19","-7,15","70,07","71,99","71,6 K"
"TASA3","17h05","10,35","3,29","1,47","-4,17","-29,17","-32,03","10,14","10,35","197,65 K"
"ADBE34","17h12","58,26","3,26","2,21","3,21","1,50","6,98","55,94","58,26","331,5 K"
"PFRM3","17h06","6,04","3,25","2,20","9,22","2,90","75,60","5,66","6,04","1,67 M"
"LBRD34","13h55","38,20","3,24","0,21","7,91","17,54","0,74","37,00","38,20","49,22 K"
"EALT4","16h40","13,42","3,23","2,44","-7,00","50,49","75,95","13,07","13,45","177,43 K"
"W1BO34","16h50","13,21","3,20","-0,75","-3,37","9,21","0,80","13,18","13,22","12,31 K"
"SHOW3","17h07","0,97","3,19","3,19","-4,90","-54,03","-56,70","0,94","0,97","107,75 K"
"ORVR3","17h07","47,81","3,17","4,62","0,10","23,67","37,98","46,00","47,94","36,54 M"
"CMCS34","17h05","47,64","3,05","-0,23","5,54","14,17","12,98","46,14","47,94","79,6 K"
"VAMO3","17h07","6,23","2,98","7,23","-5,75","-38,13","-21,25","5,95","6,27","106,21 M"
"RCFA11","15h20","1,04","2,97","0,00","0,00","-19,38","-45,55","0,98","1,04","3,36 K"
"CBAV3","17h07","5,95","2,94","4,57","8,58","16,67","53,75","5,73","5,96","28,57 M"
"GEPA4","16h43","29,75","2,94","2,94","9,06","36,43","46,31","29,70","29,75","61,58 K"
"CTGP34","17h05","60,45","2,93","1,22","6,50","48,45","91,26","58,49","60,45","172,63 K"
"FSLR34","17h05","576,02","2,86","-3,99","-15,59","38,20","55,46","574,00","576,02","138,05 K"
"BSLV39","16h48","60,21","2,82","3,28","16,62","68,94","71,20","59,28","60,49","2,39 M"
"CEDO4","16h53","23,22","2,74","2,74","0,96","-14,82","65,86","23,10","23,74","61 K"
"XRXB34","11h18","59,52","2,69","2,69","6,19","-31,10","-19,73","59,52","59,58","646,5"
"S1PO34","17h10","554,00","2,59","3,34","9,81","139,38","186,01","544,32","554,00","556,13 K"
"CTKA3","17h08","19,99","2,57","2,51","8,05","33,27","16,29","19,99","19,99","13,27 K"
"MSFT34","17h11","101,73","2,55","2,40","4,39","34,86","48,25","99,13","102,46","51,35 M"
"PCAR3","17h07","3,22","2,55","1,58","14,18","-20,69","-7,20","3,09","3,24","54,42 M"
"QCOM34","17h05","82,40","2,50","1,67","6,39","41,96","83,79","78,17","82,40","1,68 M"
"CAMB3","17h05","12,30","2,50","1,49","-2,07","18,34","43,14","11,96","12,30","449,44 K"
"KMPR34","13h09","177,66","2,49","2,49","2,49","71,47","50,86","177,66","177,66","177,66"
"A1LB34","16h36","22,90","2,42","1,87","6,71","-24,59","-19,26","22,22","22,90","3,75 K"
"U1RI34","16h11","174,08","2,40","2,09","11,60","74,25","138,13","172,72","174,08","46,53 K"
"HAGA3","10h07","2,59","2,37","-1,15","0,78","-7,83","6,15","2,59","2,59","30,83 K"
"HAGA4","17h05","1,31","2,34","0,77","11,02","11,02","3,97","1,28","1,31","307,59 K"
"SUZB3","17h07","57,58","2,33","3,25","5,77","3,51","7,94","55,86","58,19","865,64 M"
"A1LN34","16h12","84,64","2,32","0,37","12,54","89,56","109,09","84,64","84,64","24,83 K"
"G1FI34","12h57","53,30","2,30","4,61","26,78","54,30","51,76","53,15","53,30","152,44 K"
"FIVN11","15h25","2,39","2,14","0,42","-13,41","-22,90","-39,03","2,39","2,39","612,54"
"FDMO34","16h52","63,48","2,12","0,55","10,09","10,80","14,08","62,52","63,48","123,07 K"
"CPLE5","10h57","11,85","2,07","2,07","-16,25","-47,03","-48,01","11,85","11,85","5,92 K"
"CRFB3","17h07","7,06","2,02","1,15","-23,68","-43,29","-22,59","6,75","7,06","184,5 M"
"N1EM34","17h05","334,25","1,99","0,34","15,07","65,55","77,33","329,05","334,25","760,14 K"
"A1TH34","16h14","17,48","1,98","1,98","-4,27","31,89","35,88","17,48","17,48","5,27 K"
"SAPP34","11h27","1344,00","1,98","1,74","7,90","80,32","103,37","1344,00","1344,00","14,52 K"
"B1TI34","17h05","39,83","1,97","0,99","-0,23","50,19","44,32","39,06","39,83","71,29 K"
"BGIP3","16h26","26,00","1,96","1,96","-2,99","2,79","2,53","26,00","26,00","7,75 K"
"T1TW34","16h11","227,92","1,87","2,88","8,97","17,18","27,27","224,40","227,92","44,8 K"
"GOLL4","17h07","1,10","1,85","1,85","0,00","-87,74","-84,89","1,08","1,11","4,5 M"
"C1FG34","16h11","237,82","1,82","-1,20","7,03","53,06","106,43","237,82","237,82","2,61 K"
"G1LP34","17h13","9,00","1,81","3,45","15,38","-9,09","2,51","8,66","9,00","1,28 K"
"CTSA4","17h00","1,13","1,80","1,80","-11,72","-48,17","-31,52","1,13","1,13","9,32 K"
"RBIR11","17h05","83,25","1,80","2,15","-1,75","-8,02","-5,24","81,11","83,25","82,99 K"
"ABCP11","16h31","75,66","1,79","-0,45","4,36","8,38","10,45","74,34","75,93","94,25 K"
"FCXO34","16h42","92,43","1,78","0,59","2,37","34,95","66,44","90,72","93,14","36,93 K"
"Z1OM34","16h33","16,56","1,78","3,37","9,67","15,56","34,31","16,52","16,56","20,84 K"
"CASH3","17h06","3,52","1,73","3,53","-13,30","4,71","18,41","3,41","3,61","6,99 M"
"PMAM3","17h05","1,20","1,69","-4,00","-25,00","-72,35","-71,50","1,17","1,20","338,89 K"
"GGBR3","17h06","16,96","1,68","1,86","0,53","-1,94","5,57","16,51","16,96","3,94 M"
"BBFO11","16h53","67,54","1,66","1,56","-5,37","-7,37","-6,32","65,97","67,97","731,53 K"
"WFCO34","17h05","92,72","1,66","0,99","20,82","57,57","91,22","91,53","92,76","386,2 K"
"WEGE3","17h07","55,95","1,65","1,32","2,87","53,99","67,94","54,60","55,95","493,46 M"
"BOAC34","17h10","60,51","1,61","0,07","11,93","50,16","92,50","59,18","60,51","889,4 K"
"O1DF34","15h32","57,30","1,60","0,63","7,10","16,00","22,91","57,30","57,30","572,1"
"S1KM34","13h18","32,91","1,57","3,78","-0,87","31,10","33,87","32,91","32,91","583,98"
"ASML34","17h10","74,81","1,56","-0,12","-10,51","13,01","40,34","74,10","74,92","9,98 M"
"MOSC34","15h25","25,12","1,54","0,96","3,33","-12,24","-9,32","25,02","25,12","77,55 K"
"SARE11","17h05","4,00","1,52","0,00","-90,00","-91,88","-91,67","3,94","4,01","2,2 M"
"ULEV34","17h12","359,90","1,49","0,27","1,81","57,71","52,00","351,80","359,90","67,66 K"
"VTLT11","16h52","91,89","1,49","-0,90","-2,30","-7,18","-3,72","90,97","91,99","128,65 K"
"WALM34","17h10","29,35","1,49","2,05","6,84","86,77","76,08","28,71","29,35","1,77 M"
"SCPF11","16h54","2,05","1,49","-5,96","-18,65","-56,57","-58,50","1,97","2,05","36,89 K"
"CORN11","17h15","6,35","1,44","1,76","0,79","-7,97","1,93","6,20","6,35","80,43 K"
"PSSA3","17h07","37,30","1,41","1,06","2,30","33,69","54,23","36,78","37,70","190,97 M"
"BBOI11","17h17","8,67","1,40","-2,69","1,29","15,60","13,78","8,60","9,22","655,75 K"
"DEEC34","17h10","78,38","1,40","0,80","3,94","22,72","26,64","76,80","78,38","93,32 K"
"COTY34","17h10","22,00","1,38","-12,00","-15,97","-27,61","-7,64","21,12","22,00","41,47 K"
"VLOE34","14h49","387,27","1,38","1,38","4,75","22,52","20,55","387,27","387,27","387,27"
"JDCO34","16h50","38,28","1,38","1,06","5,16","71,81","88,73","38,28","38,68","112,29 K"
"EUCA4","17h06","14,48","1,33","-1,56","-7,06","-8,87","24,89","14,29","14,50","1,19 M"
"RDNI3","16h16","3,14","1,29","2,61","2,61","-31,74","-29,75","3,08","3,14","7,43 K"
"LIGT3","17h07","6,48","1,25","1,89","-8,99","-19,00","10,96","6,27","6,53","5 M"
"HTMX11","17h05","188,80","1,24","0,44","-8,75","-4,65","20,93","186,60","188,98","1,49 M"
"CEBR3","17h00","18,73","1,24","3,14","-1,16","10,28","26,43","18,36","19,88","61,06 K"
"DISB34","17h05","36,93","1,23","0,60","5,67","26,90","33,51","36,42","36,93","7,16 M"
"UNIP5","12h15","47,60","1,23","-0,83","-0,83","-32,30","-30,99","47,60","47,60","84,91 K"
"EPAR3","15h24","5,76","1,23","3,78","0,52","-48,70","-51,74","5,58","5,77","48,01 K"
"B1CS34","15h36","72,78","1,22","-0,12","10,27","98,25","114,62","72,78","72,80","2,97 K"
"TPIS3","17h05","6,63","1,22","6,42","27,01","57,86","67,00","6,32","6,97","2,11 M"
"L1YV34","16h11","132,47","1,19","1,60","11,50","44,59","65,38","132,47","132,47","9,74 K"
"GOLD11","17h16","16,44","1,17","1,11","9,24","55,39","57,47","16,31","16,51","41,33 M"
"POSI3","17h07","6,16","1,15","1,99","8,45","-7,26","0,38","5,98","6,22","11,8 M"
"BBSE3","17h07","34,34","1,15","1,54","-3,27","9,99","18,02","33,80","34,36","218,66 M"
"XINA11","17h15","7,24","1,12","-0,55","3,43","45,67","41,13","7,17","7,30","2,92 M"
"SIMN34","16h40","250,50","1,11","-0,30","9,01","48,56","96,16","247,81","250,50","62,05 K"
"HAPV3","17h07","3,69","1,10","-1,86","-7,75","-17,08","-7,75","3,51","3,69","622,45 M"
"GMAT3","17h06","7,40","1,09","1,09","-0,13","4,82","21,00","7,19","7,40","39,88 M"
"ORCL34","17h05","167,01","1,07","0,45","9,16","96,91","93,25","165,40","167,01","396,96 K"
"FLRY3","17h07","15,12","1,07","1,34","-2,01","-13,77","1,23","14,79","15,18","97,8 M"
"BOBR4","17h05","2,87","1,06","1,06","28,13","40,69","85,16","2,79","2,90","566,51 K"
"JBSS3","17h07","35,20","1,03","1,41","11,29","49,12","91,48","34,36","35,20","408,96 M"
"B1GN34","16h39","50,05","1,01","2,33","0,70","46,73","56,60","50,05","50,05","80,01 K"
"GOGL34","17h10","78,60","1,00","0,90","4,33","39,86","37,51","76,65","78,70","12,01 M"
"E1QR34","11h42","211,89","1,00","1,00","4,90","46,34","53,09","211,89","211,89","1,68 K"
"KLBN4","17h07","4,16","0,97","0,48","-0,95","7,61","7,89","4,11","4,18","7,55 M"
"BCHI39","16h09","35,86","0,96","-0,14","3,13","47,37","40,89","35,72","35,97","22,77 K"
"H1SB34","16h46","63,66","0,95","0,19","3,21","40,57","48,28","62,88","63,72","94,52 K"
"MCHY11","17h05","8,56","0,94","1,66","-2,39","-92,34","-92,21","8,36","8,61","11,09 M"
"L1YG34","17h05","18,25","0,94","0,16","7,35","65,42","92,83","18,25","18,46","10,43 K"
"I1NC34","16h09","186,39","0,93","0,93","2,63","22,11","16,48","186,39","186,39","3,72 K"
"EGYR11","15h00","3,30","0,92","0,00","-3,51","-41,28","-48,84","3,23","3,50","1,08 K"
"DBAG34","12h40","100,70","0,90","0,20","6,76","55,03","100,81","100,70","100,70","5,79 K"
"RIOT34","16h40","373,70","0,90","0,34","-3,21","11,21","31,94","368,02","373,70","110,82 K"
"HOOT4","14h18","2,26","0,89","-1,31","-0,44","-21,80","-15,67","2,26","2,26","1,12 K"
"P1LD34","15h40","56,55","0,89","-2,84","-1,31","6,19","36,84","55,74","56,55","36,31 K"
"OXYP34","17h10","49,78","0,89","0,99","6,80","3,78","-4,27","49,75","49,78","459,87 K"
"CPRL34","16h23","113,52","0,88","-0,48","-2,14","18,31","28,15","113,41","113,52","5,31 K"
"NOKI34","11h09","26,93","0,87","0,86","14,14","66,67","71,26","26,93","27,04","55,33 K"
"BPML11","17h05","80,29","0,87","-1,06","-8,86","-16,36","-6,60","79,60","82,73","2,71 M"
"N1OW34","16h11","105,10","0,86","-0,38","8,46","53,95","95,03","105,10","105,30","37,58 K"
"BRBI11","17h05","15,23","0,86","0,93","-0,13","4,73","43,18","14,94","15,23","7,17 M"
"VGIP11","17h05","85,00","0,85","0,77","-0,25","-3,58","-3,01","84,63","85,42","6,58 M"
"KRSA3","16h54","4,78","0,84","1,27","-2,45","-63,23","-39,49","4,74","4,78","181,04 K"
"C1CL34","15h53","122,10","0,84","0,44","19,79","36,23","113,35","122,10","122,10","86,76 K"
"META11","16h38","36,00","0,84","0,00","4,86","-0,06","74,00","35,70","36,10","154,39 K"
"ELET3","17h07","38,50","0,84","1,93","-2,16","-8,29","13,85","37,87","38,60","426,23 M"
"ASAI3","17h07","7,29","0,83","2,82","-2,41","-46,12","-36,72","7,13","7,40","273,76 M"
"E1CO34","17h05","23,19","0,83","-0,64","-4,96","-9,47","-7,48","22,98","23,67","227,26 K"
"C1MG34","16h40","17,12","0,82","1,66","9,18","54,70","85,31","16,86","17,16","559,29 K"
"BCIA11","17h05","90,94","0,82","0,55","-3,57","-12,52","-8,10","90,20","91,25","1,53 M"
"F1MC34","16h11","177,84","0,82","1,75","-0,50","18,33","30,38","177,84","177,84","1,59 K"
"GOGL35","17h05","79,33","0,81","1,15","4,80","40,03","37,92","78,64","79,33","12,25 M"
"IBMB34","16h31","1327,92","0,80","0,60","10,38","70,56","99,13","1317,36","1327,92","68,73 K"
"S1RE34","16h11","121,68","0,80","-0,47","7,50","37,12","40,73","121,68","121,68","11,08 K"
"A1LL34","16h32","71,75","0,79","-4,21","11,97","79,38","102,69","71,26","71,75","17,67 K"
"GPIV33","17h05","3,88","0,78","1,31","-26,52","40,58","49,81","3,82","3,88","5,54 K"
"RECR11","17h05","78,90","0,78","0,14","-4,84","-10,24","-7,93","76,50","79,05","8,63 M"
"RDOR3","17h07","29,83","0,78","-0,37","-3,56","5,10","27,13","28,91","29,83","274,76 M"
"BSLI4","12h13","9,16","0,77","0,00","1,78","-11,79","-10,83","9,16","9,16","11,86 K"
"SCAR3","16h52","21,17","0,76","0,38","-7,35","-18,10","-8,03","21,16","21,17","189,4 K"
"RAPT3","17h07","9,29","0,76","-3,13","5,09","-21,54","1,09","9,14","9,29","436,9 K"
"RCRB11","17h05","129,07","0,76","-0,94","-2,02","-19,83","-13,50","128,12","131,97","1,85 M"
"ODPV3","17h07","10,69","0,75","-0,37","-4,72","2,14","7,79","10,49","10,71","12,6 M"
"H1LT34","17h05","56,46","0,75","0,75","9,38","54,26","77,67","56,46","56,46","2,82 M"
"AALR3","17h05","12,31","0,74","0,90","-20,06","18,37","42,97","11,92","12,40","310,31 K"
"EXXO34","17h10","86,31","0,74","0,82","8,46","44,41","29,16","85,24","86,31","1,18 M"
"ARMT34","15h42","68,39","0,72","-1,13","-4,31","0,09","26,10","68,11","68,39","5,84 K"
"E1MR34","16h19","625,59","0,71","0,71","6,11","33,92","32,98","625,59","625,59","9,37 K"
"JGPX11","16h53","70,13","0,70","0,19","3,39","-13,71","-15,42","69,20","70,22","1,29 M"
"SBUB34","16h40","553,30","0,70","0,65","5,08","21,24","19,53","549,00","553,30","46,76 K"
"R1CL34","12h40","575,13","0,70","1,17","20,57","94,93","161,82","575,13","575,13","4 K"
"CVBI11","17h00","87,09","0,68","-0,87","-2,64","-5,78","-3,81","86,40","87,33","3,66 M"
"CEBR6","17h00","17,77","0,68","1,25","1,08","3,32","16,19","17,46","17,77","246,08 K"
"RECT11","16h54","30,03","0,67","-0,23","-6,51","-36,83","-30,98","29,83","30,24","888,1 K"
"BIYW39","16h40","25,53","0,67","0,99","8,64","38,04","69,63","25,44","25,53","8,29 K"
"ALLD3","17h05","7,53","0,67","0,40","-3,34","11,11","64,80","7,47","7,59","408,74 K"
"TFCO4","17h07","10,57","0,67","0,57","0,96","-28,67","-18,61","10,35","10,58","2,28 M"
"AMGN34","16h37","65,17","0,66","-0,28","4,59","32,42","35,33","64,50","65,17","42,81 K"
"RIGG34","16h37","24,34","0,66","2,61","4,46","-23,24","-33,68","24,18","24,34","349,16 K"
"A1EG34","14h00","36,64","0,66","-0,22","5,74","37,17","64,45","36,64","36,64","329,33"
"KNHY11","17h05","103,90","0,66","0,17","-2,35","0,58","2,31","103,22","104,44","9,02 M"
"GSFI11","17h08","7,80","0,65","0,00","4,98","-1,27","-1,76","7,47","7,80","653,05 K"
"MRCK34","17h05","76,21","0,62","-1,28","-1,69","17,66","19,37","75,41","76,21","1,14 M"
"ELET6","17h07","42,53","0,62","1,00","-2,70","-5,42","16,20","41,84","42,79","66,39 M"
"JNJB34","17h10","62,31","0,61","0,05","6,22","25,57","25,97","61,39","62,35","511,9 K"
"BILB34","15h31","56,34","0,61","-1,57","-3,48","35,80","47,55","56,34","56,34","1,57 K"
"PFIN11","16h54","74,45","0,59","0,61","0,87","8,11","12,90","74,00","74,73","1,81 M"
"COLG34","16h01","81,52","0,59","-0,10","1,53","51,62","60,07","80,56","81,52","75,98 K"
"BRAV3","17h07","17,27","0,58","1,89","-2,04","-33,50","-45,56","16,92","17,41","238,27 M"
"SHPH11","16h46","874,98","0,57","0,57","-6,82","2,94","10,47","870,01","877,99","192,81 K"
"MILS3","17h07","10,58","0,57","0,38","-4,34","-19,66","3,09","10,35","10,59","14,37 M"
"NEXT34","17h10","119,98","0,56","-0,02","4,78","65,72","88,84","118,68","119,98","67,15 K"
"SAPR11","17h07","27,50","0,55","-0,54","-6,72","-1,80","25,61","27,32","27,70","35,73 M"
